"Title","Year","TheNumbers_Budget","Kraggle_Budget"
"samba",2014,NA,20000000
"samba",2015,NA,NA
"samurai cop 2: deadly vengeance",2015,NA,1500000
"samurai rauni",2016,NA,56000
"sanam teri kasam",2016,NA,NA
"san andreas",2015,1.1e+08,110000000
"satanic",2016,NA,NA
"saul fia",2015,1700000,NA
"sausage party",2016,1.9e+07,19000000
"saving mr. wu",2015,NA,NA
"schneider vs. bax",2015,NA,3000000
"score: a film music documentary",2017,NA,NA
"scouts guide to the zombie apocalypse",2015,1.5e+07,15000000
"search party",2014,NA,20000000
"search party",2016,NA,NA
"seasons",2016,NA,NA
"secret in their eyes",2015,2e+07,19500000
"security",2017,NA,15000000
"see you in montevideo",2014,NA,5400000
"self/less",2015,2.6e+07,26000000
"selma",2014,NA,20000000
"selma",2015,2e+07,NA
"seondal: the man who sells the river",2016,NA,NA
"serena",2015,NA,NA
"serial (bad) weddings",2014,NA,13000000
"serial killer 1",2015,NA,5290000
"serial killer 1",2016,NA,NA
"serial killer culture",2014,NA,50
"seventh son",2014,NA,95000000
"seventh son",2015,9.5e+07,NA
"sex tape",2014,4e+07,40000000
"seymour: an introduction",2015,NA,NA
"shaadi ke side effects",2014,NA,NA
"shaandaar",2015,NA,NA
"shamitabh",2015,NA,3700000
"shanghai",2015,NA,NA
"sharkansas women's prison massacre",2015,NA,600000
"shark lake",2015,NA,2000000
"sharktopus vs. whalewolf",2015,NA,6000000
"shaun the sheep",2015,2.5e+07,NA
"shaun the sheep movie",2015,NA,NA
"she's funny that way",2015,NA,NA
"shin godzilla",2016,NA,15000000
"shubh mangal saavdhan",2017,NA,NA
"shut in",2016,1e+07,10000000
"sicario",2015,3e+07,30000000
"siddharth",2014,NA,NA
"sieranevada",2016,NA,1488410
"silence",2016,46500000,46000000
"silence (2016)",2016,NA,NA
"sin city: a dame to kill for",2014,6.5e+07,65000000
"sing",2016,7.5e+07,75000000
"singham returns",2014,NA,NA
"singh is bling",2015,NA,NA
"sing street",2016,NA,4000000
"sinister 2",2015,1e+07,10000000
"sisters",2015,3e+07,30000000
"skin trade",2014,NA,9000000
"skin trade",2015,NA,NA
"skiptrace",2016,NA,32000000
"slack bay",2017,NA,NA
"sleeping with other people",2015,NA,NA
"sleepless",2017,NA,30000000
"sleight",2017,250000,NA
"slow west",2015,NA,NA
"smoke & mirrors",2016,NA,5000000
"smurfs: the lost village",2017,6e+07,60000000
"snatched",2017,4.2e+07,42000000
"sniper: ghost shooter",2016,NA,3000000
"snowden",2016,5e+07,40000000
"snow girl and the dark crystal",2015,NA,NA
"snowpiercer",2014,4e+07,NA
"snowtime!",2015,NA,12500000
"solace",2016,NA,NA
"some like it hot (qing shung)",2017,NA,NA
"something wicked",2014,NA,3000000
"somewhere only we know",2015,NA,NA
"song of the sea",2014,NA,NA
"song one",2014,NA,6000000
"song one",2015,NA,NA
"songs my brothers taught me",2016,NA,NA
"song to song",2017,NA,10000000
"son of god",2014,2.2e+07,22000000
"son of saul",2015,NA,1000000
"southpaw",2015,3e+07,30000000
"southside with you",2016,NA,NA
"so young 2: never gone",2016,NA,NA
"space cop",2016,NA,80000
"space dogs 2",2014,NA,6000000
"spanish affair",2014,NA,3000000
"spanish affair 2",2015,NA,4500000
"spare parts",2015,NA,NA
"special id",2014,NA,NA
"spectre",2015,3e+08,245000000
"spider-man: homecoming",2017,1.75e+08,NA
"spirits' homecoming",2016,NA,NA
"split",2016,NA,9000000
"split",2017,5e+06,NA
"spotlight",2015,2e+07,20000000
"spy",2015,NA,65000000
"spy!",2015,6.5e+07,NA
"stalingrad (2014)",2014,NA,NA
"stalked by my doctor",2015,NA,4000000
"stand by me doraemon",2014,NA,35000000
"standing tall",2015,NA,5000000
"standing tall (la tete haute)",2016,NA,NA
"standoff",2016,NA,8000000
"starred up",2014,NA,NA
"starship rising",2014,NA,3000000
"star trek beyond",2016,1.85e+08,185000000
"star wars ep. viii: the last jedi",2017,3.17e+08,NA
"star wars ep. vii: the force awakens",2015,3.06e+08,NA
"star wars: the force awakens",2015,NA,245000000
"star wars: the last jedi",2017,NA,NA
"stations of the cross",2015,NA,NA
"steak (r)evolution",2015,NA,NA
"step up all in",2014,NA,45000000
"steve jobs",2015,3e+07,30000000
"steve mcqueen: the man & le mans",2015,NA,NA
"still alice",2014,NA,5000000
"still alice",2015,5e+06,NA
"still life (2015)",2015,NA,NA
"stonewall",2015,NA,13500000
"stonewall (2015)",2015,NA,NA
"storks",2016,7e+07,70000000
"straight outta compton",2015,2.8e+07,28000000
"strange magic",2015,NA,NA
"strangerland",2015,NA,10000000
"stray dogs",2014,NA,NA
"stronger",2017,NA,NA
"stung",2015,NA,2500000
"st. vincent",2014,1.3e+07,13000000
"suburbicon",2017,NA,NA
"suburra",2015,NA,7000000
"suffragette",2015,1.4e+07,14000000
"suicide squad",2016,1.75e+08,175000000
"suite française",2014,NA,15000000
"sully",2016,6e+07,60000000
"sultan",2016,1.1e+07,10400000
"summertime (2016)",2016,NA,NA
"sundays",2015,NA,51237
"sunset song",2016,NA,NA
"sunshine superman",2015,NA,400000
"sunstroke",2014,NA,21000000
"suntan",2017,NA,NA
"superfast!",2015,NA,20000000
"surprise - journey to the west",2015,NA,NA
"survivor",2015,NA,20000000
"swat: unit 887",2015,NA,2000000
"sweet 20",2016,NA,NA
"sweet bean",2016,NA,NA
"sweet sixteen (xia you qiao mu)",2016,NA,NA
"swelter",2014,NA,8000000
"swiss army man",2016,3e+06,3000000
"sword art online: the movie - ordinal scale",2017,NA,NA
"sword master",2016,NA,NA
"sx_tape",2014,NA,600000
"t2 trainspotting",2017,NA,18000000
"t2: trainspotting",2017,1.8e+07,NA
"table 19",2017,5e+06,5000000
"tad the lost explorer and the secret of king midas",2017,NA,NA
"taken 3",2014,NA,48000000
"taken 3",2015,4.8e+07,NA
"taking earth",2017,NA,400000
"tale of tales",2015,NA,12000000
"tale of tales",2016,NA,NA
"tamasha",2015,NA,NA
"tammy",2014,2e+07,20000000
"tangerine",2015,NA,100000
"tangerines",2015,NA,NA
"tanu weds manu returns",2015,NA,NA
"tasting menu",2014,NA,NA
"tazza: the hidden card",2014,NA,NA
"te3n",2016,NA,5069632
"ted 2",2015,6.8e+07,68000000
"teenage mutant ninja turtles",2014,1.25e+08,125000000
"teenage mutant ninja turtles (2014)",2014,NA,NA
"teenage mutant ninja turtles: out of the shadows",2016,1.35e+08,135000000
"teleios",2017,NA,1000000
"terminator 2: judgment day 3d",2017,NA,NA
"terminator genisys",2015,NA,155000000
"terminator: genisys",2015,1.55e+08,NA
"term life",2016,NA,16500000
"testament of youth",2015,NA,NA
"tevar",2015,NA,NA
"thanks to my friends",2015,NA,NA
"thank you for your service",2017,2e+07,NA
"thank you for your service (2017)",2017,NA,NA
"that awkward moment",2014,8e+06,8000000
"that demon within",2014,NA,NA
"that sugar film",2015,NA,NA
"the 100-year old man who climbed out the window and disappeared",2015,NA,NA
"the 33",2015,2.5e+07,25000000
"the 5th wave",2016,3.8e+07,38000000
"the accountant",2016,4e+07,44000000
"the admiral: roaring currents",2014,NA,9500000
"the advocate: a missing body",2015,NA,NA
"the age of adaline",2015,3e+07,25000000
"the age of shadows",2016,NA,8620000
"the amazing catfish",2014,NA,NA
"the amazing spider-man 2",2014,2e+08,200000000
"the amityville terror",2016,NA,500000
"the angry birds movie",2016,7.3e+07,73000000
"the ardennes",2015,NA,2200000
"the ardennes",2017,NA,NA
"the ark of mr. chow",2015,NA,NA
"the assassin",2015,NA,15000000
"the assignment",2016,NA,5000000
"the attorney",2014,NA,NA
"the autopsy of jane doe",2016,NA,NA
"the avenue",2017,NA,42000
"the babadook",2014,2e+06,2000000
"the bachelor",2016,NA,480000
"the bad batch",2017,NA,6000000
"the bandit hound",2016,NA,3000000
"the bartender",2015,NA,2600000
"the battalion",2015,NA,10000000
"the battleship island",2017,NA,NA
"the beatles: eight days a week - the touring years",2016,NA,NA
"the beauty inside",2015,NA,NA
"the beguiled",2017,NA,10500000
"the beguiled (2017)",2017,NA,NA
"the bélier family",2014,NA,11000000
"the belko experiment",2016,NA,5000000
"the belko experiment",2017,5e+06,NA
"the best offer",2014,NA,NA
"the best of me",2014,2.6e+07,26000000
"the bfg",2016,1.4e+08,140000000
"the big short",2015,2.8e+07,28000000
"the big sick",2017,5e+06,NA
"the birth of a nation",2015,110000,NA
"the birth of a nation",2016,1e+07,8500000
"the black hole",2015,NA,800000
"the blue elephant",2014,NA,3500000
"the blue room",2014,NA,NA
"the book of henry",2017,NA,10000000
"the book of life",2014,5e+07,50000000
"the book of life (2014)",2014,NA,NA
"the boss",2016,2.9e+07,29000000
"the boss baby",2017,1.25e+08,125000000
"the bounce back",2016,3e+06,NA
"the boxcar children",2014,NA,5
"the boxtrolls",2014,6e+07,60000000
"the boy",2016,1e+07,10000000
"the boy (2016)",2016,NA,NA
"the boy and the beast",2016,NA,NA
"the boy next door",2015,4e+06,4000000
"the brand new testament",2015,NA,8555500
"the brand new testament",2016,NA,NA
"the breakup guru",2014,NA,NA
"the bride",2017,NA,1500000
"the bronx bull",2016,NA,7000000
"the bronze",2016,3500000,3500000
"the brothers grimsby",2016,3.5e+07,NA
"the bye bye man",2017,7400000,7400000
"the captive",2014,NA,NA
"the carer",2016,NA,NA
"the case for christ",2017,NA,NA
"the chambermaid",2015,NA,NA
"the childhood of a leader",2016,NA,3000000
"the choice",2016,NA,10000000
"the chronicles of evil",2015,NA,NA
"the circle",2017,1.8e+07,18000000
"the circle (2017)",2017,NA,NA
"the club",2016,NA,NA
"the comedian",2016,NA,15000000
"the commune",2017,NA,NA
"the confessions of thomas quick",2015,NA,1250000
"the conformist (2014 re-release)",2014,NA,NA
"the congress",2014,NA,NA
"the conjuring 2",2016,NA,40000000
"the conjuring 2: the enfield poltergeist",2016,4e+07,NA
"the connection",2014,NA,26000000
"the connection",2015,NA,NA
"the correspondence",2016,NA,10000000
"the country doctor",2017,NA,NA
"the crossing",2014,NA,40000000
"the curse of downers grove",2015,NA,2000000
"the cut",2014,NA,16000000
"the cut",2015,NA,NA
"the dance of reality",2014,NA,NA
"the danish girl",2015,NA,15000000
"the dark horse",2016,NA,NA
"the darkness",2016,4e+06,4000000
"the dark tapes",2017,NA,65000
"the dark tower",2017,6e+07,60000000
"the dark valley",2014,NA,6350000
"the daughter",2017,NA,NA
"the dawns here are quiet",2015,NA,3300000
"the days that confused",2016,NA,566000
"the day will come",2016,NA,4750000
"the dead lands",2015,NA,NA
"the dead room",2015,NA,1000000
"the decent one",2014,NA,NA
"the devil's hand",2014,NA,7000000
"the diary of a teenage girl",2015,2e+06,2000000
"the disappearance of eleanor rigby",2014,NA,NA
"the disappointments room",2016,1.5e+07,15000000
"the disaster artist",2017,NA,NA
"the divergent series: allegiant",2016,1.1e+08,NA
"the divergent series: insurgent",2015,1.1e+08,NA
"the divine move",2014,NA,NA
"the dog lover",2016,NA,2000000
"the double (2014)",2014,NA,NA
"the dragonphoenix chronicles: indomitable",2014,NA,14000
"the dressmaker",2015,NA,11930000
"the dressmaker",2016,11900000,NA
"the drop",2014,12600000,12600000
"the drunk",2014,NA,1000000
"the d train",2015,NA,447524
"the duel",2016,NA,10000000
"the duelist",2016,NA,12823507
"the duff",2015,8500000,8500000
"the duke of burgundy",2014,NA,1000000
"the duke of burgundy",2015,NA,NA
"the eagle huntress",2016,NA,NA
"theeb",2015,NA,NA
"the edge of seventeen",2016,9e+06,9000000
"the emoji movie",2017,5e+07,50000000
"the end of the tour",2015,NA,NA
"the equalizer",2014,5.5e+07,55000000
"the evil within",2017,NA,4000000
"the expendables 3",2014,1e+08,90000000
"the face of love",2014,4e+06,NA
"the falling",2014,NA,750000
"the family fang",2016,NA,NA
"the farewell party",2015,NA,NA
"the fate of the furious",2017,2.5e+08,250000000
"the fault in our stars",2014,1.2e+07,12000000
"the fencer",2017,NA,NA
"the finest hours",2016,7e+07,80000000
"the first monday in may",2016,NA,NA
"the florida project",2017,2e+06,NA
"the forbidden room",2015,NA,NA
"the forecaster",2015,NA,NA
"the foreigner",2017,3.5e+07,NA
"the forest",2016,1e+07,10000000
"the forgotten",2014,NA,1446950
"the fortress",2017,NA,NA
"the founder",2016,NA,25000000
"the founder",2017,1.5e+07,NA
"the french minister",2014,NA,NA
"the fury of a patient man",2016,NA,1200000
"the gallows",2015,1e+05,100000
"the gambler",2014,2.5e+07,25000000
"the games maker",2014,NA,6000000
"the german doctor",2014,NA,NA
"the gift",2015,5e+06,5000000
"the gift (2015)",2015,NA,NA
"the girl in the book",2015,NA,NA
"the girl on the train",2016,4.5e+07,45000000
"the girl on the train (2016)",2016,NA,NA
"the girl with all the gifts",2016,NA,5005600
"the girl without hands",2017,NA,NA
"the giver",2014,2.5e+07,25000000
"the glass castle",2017,NA,NA
"the golden cane warrior",2014,NA,2000000
"the golden era",2014,NA,NA
"the good dinosaur",2015,187500000,175000000
"the good lie",2014,NA,NA
"the grand budapest hotel",2014,3.1e+07,30000000
"the grand seduction",2014,NA,12700000
"the greatest showman",2017,8.4e+07,NA
"the great gilly hopkins",2015,NA,5000000
"the great wall",2016,NA,150000000
"the great wall",2017,1.5e+08,NA
"the green inferno",2014,NA,5000000
"the green inferno",2015,1e+06,NA
"the green prince",2014,NA,NA
"the guest",2014,NA,5000000
"the guest (2014)",2014,NA,NA
"the guide",2014,NA,722083
"the gunman",2015,4e+07,40000000
"the hallow",2015,NA,NA
"the handmaiden",2016,NA,8575000
"the hateful eight",2015,6.2e+07,44000000
"the hero of color city",2014,NA,NA
"the himalayas",2015,NA,NA
"the hitman's bodyguard",2017,NA,NA
"the hitman’s bodyguard",2017,3e+07,NA
"the hobbit: the battle of the five armies",2014,2.5e+08,250000000
"the hollars",2016,NA,3800000
"the hollow",2015,NA,2000000
"the homesman",2014,1.6e+07,16000000
"the hooligan factory",2014,NA,1000000
"the house",2017,4e+07,40000000
"the humbling",2014,NA,2000000
"the hundred-foot journey",2014,2.2e+07,22000000
"the hunger games: mockingjay - part 1",2014,1.25e+08,125000000
"the hunger games: mockingjay - part 2",2015,1.6e+08,160000000
"the hunter's prayer",2017,NA,17000000
"the huntsman: winter's war",2016,NA,115000000
"the huntsman: winter’s war",2016,1.15e+08,NA
"the idealist",2015,NA,2907868
"the identical",2014,NA,12000000
"the imitation game",2014,1.5e+07,14000000
"the immigrant",2014,1.6e+07,NA
"the infiltrator",2016,47500000,25000000
"the innocents",2016,NA,6000000
"the institute",2017,NA,3000000
"the intern",2015,4e+07,35000000
"the interview",2014,4.4e+07,44000000
"the interview (2014)",2014,NA,NA
"the invisible boy",2014,NA,8000000
"the invisible guest",2016,NA,4000000
"the invitation",2016,NA,NA
"their finest",2017,NA,32745300
"the iron ivan",2014,NA,12000000
"the iron ministry",2015,NA,NA
"the jewish cardinal",2014,NA,NA
"the journey",2014,NA,1220000
"the journey",2017,NA,NA
"the judge",2014,5e+07,50000000
"the jungle book",2016,1.75e+08,175000000
"the jungle book (2016)",2016,NA,NA
"the keeping room",2015,NA,NA
"the king of arcades",2014,NA,175000
"the king's case note",2017,NA,NA
"the king's choice",2016,NA,7500000
"the king's choice",2017,NA,NA
"the lady in the car with glasses and a gun",2015,NA,NA
"the lady in the van",2015,NA,6000000
"the last king",2016,NA,5455000
"the last light",2014,NA,400000
"the last man on the moon",2016,NA,NA
"the last - naruto the movie",2015,NA,NA
"the last princess",2016,NA,NA
"the last sentence",2014,NA,NA
"the last witch hunter",2015,8e+07,90000000
"the last women standing",2015,NA,NA
"the last word",2017,NA,NA
"the lazarus effect",2015,5e+06,3300000
"the legend of hercules",2014,7e+07,70000000
"the legend of tarzan",2016,1.8e+08,180000000
"the lego batman movie",2017,8e+07,80000000
"the lego movie",2014,6e+07,60000000
"the lego ninjago movie",2017,7e+07,NA
"the leisure class",2015,NA,3000000
"the leisure seeker",2017,NA,NA
"the lesson",2015,NA,NA
"the levelling",2017,NA,1282545
"the light between oceans",2016,2e+07,20000000
"the lighthouse of the orcas",2016,NA,6000000
"the little bedroom",2014,NA,NA
"the little death",2015,NA,NA
"the little prince",2015,NA,64000000
"the little prince",2016,77500000,NA
"the little rascals save the day",2014,NA,8000000
"the living",2014,NA,500000
"thelma",2017,NA,NA
"the lobster",2015,NA,4000000
"the lobster",2016,4500000,NA
"the lobster (canada release)",2016,NA,NA
"the lobster (us release)",2016,NA,NA
"the loft",2014,NA,14000000
"the loft",2015,NA,NA
"the longest ride",2015,3.4e+07,34000000
"the look of silence",2015,NA,NA
"the lost city of z",2016,NA,30000000
"the lost city of z",2017,3e+07,NA
"the love punch",2014,NA,NA
"the lovers",2015,NA,27000000
"the lovers and the despot",2016,NA,NA
"the lunchbox",2014,1700000,NA
"the lure",2015,NA,1300000
"the lure",2017,NA,NA
"the mafia only kills in summer",2015,NA,NA
"the magnificent seven",2016,9e+07,90000000
"the magnificent seven (2016)",2016,NA,NA
"the making of trump",2015,NA,800000
"the man from u.n.c.l.e.",2015,7.5e+07,75000000
"the man who invented christmas",2017,NA,NA
"the man who knew infinity",2016,NA,NA
"the map against the world",2016,NA,NA
"the marine 4: moving target",2015,NA,1950000
"the martian",2015,1.08e+08,108000000
"the master plan",2015,NA,3500000
"the mayor",2017,NA,NA
"the maze runner",2014,3.4e+07,34000000
"the measure of a man",2016,NA,NA
"the meddler",2016,3200000,3200000
"the mermaid",2016,NA,60720000
"the mermaid (mei ren yu)",2016,NA,NA
"the midwife",2017,NA,NA
"the mighty angel",2014,NA,2100000
"the mine",2016,NA,1200000
"the model",2016,NA,4000000
"the monk and the demon",2016,NA,2000000
"the monkey king",2014,NA,82000000
"the monkey king 2 in 3d",2016,NA,NA
"the monster",2016,NA,2700000
"the monster (2016)",2016,NA,NA
"the monuments men",2014,7e+07,70000000
"the mountain between us",2017,NA,NA
"the mummy",2017,1.95e+08,125000000
"the mummy (2017)",2017,NA,NA
"the music of strangers",2016,NA,NA
"the mystery of happiness",2014,NA,NA
"the neon demon",2016,7500000,7000000
"the new girlfriend",2015,NA,NA
"the new year's eve of old lee",2016,NA,NA
"the nice guys",2016,5e+07,50000000
"the night before",2015,2.5e+07,25000000
"the nightmare",2015,NA,85876
"the nile hilton incident",2017,NA,NA
"the notebook (2014)",2014,NA,NA
"the november man",2014,1.5e+07,15000000
"the nut job",2014,3e+07,NA
"the nut job 2: nutty by nature",2017,4e+07,NA
"the odyssey",2016,NA,21363000
"the office",2015,NA,NA
"the one",2015,NA,1500000
"the one i love",2014,NA,NA
"the ones below",2016,NA,NA
"the only living boy in new york",2017,NA,NA
"the opposite sex",2014,NA,3300000
"the ornithologist",2017,NA,NA
"the other side",2016,NA,NA
"the other side of hope",2017,NA,NA
"the other side of the door",2016,NA,NA
"the other woman",2014,4e+07,40000000
"the other woman (2014)",2014,NA,NA
"the ottoman lieutenant",2017,NA,40000000
"the outsider",2014,NA,4000000
"the overnight",2015,2e+05,NA
"the past is a grotesque animal",2014,NA,100
"the peanuts movie",2015,9.9e+07,99000000
"the people vs. fritz bauer",2016,NA,NA
"the perfect guy",2015,1.8e+07,12000000
"the perfect match",2016,5e+06,NA
"the phoenix incident",2015,NA,1300000
"the phone",2015,NA,NA
"the pirates",2014,NA,NA
"the players",2014,NA,NA
"the polar express (2014 re-issue)",2014,NA,NA
"the polar express (2016 re-issue)",2016,NA,NA
"the post",2017,5e+07,NA
"the presence",2014,NA,40000
"the president",2016,NA,NA
"the priests",2015,NA,NA
"the primary instinct",2015,NA,50234
"the prince",2014,NA,18000000
"the prison",2017,NA,NA
"the program (2016)",2016,NA,NA
"the promise",2016,NA,300000
"the promise",2017,9e+07,NA
"the promise (2017)",2017,NA,NA
"the protector 2",2014,NA,NA
"the puppet syndrome",2015,NA,2000000
"the purge: anarchy",2014,9e+06,9000000
"the purge: election year",2016,1e+07,10000000
"the pyramid",2014,NA,6500000
"the quiet ones",2014,NA,200000
"the raid 2",2014,NA,4500000
"the railway man",2014,1.8e+07,NA
"the red turtle",2017,NA,NA
"the redwood massacre",2014,NA,156660
"the remaining",2014,NA,NA
"the resurrection of gavin stone",2017,2e+06,NA
"the revenant",2015,1.35e+08,135000000
"the ridiculous 6",2015,NA,60000000
"the riot club",2015,NA,NA
"the rise of the krays",2015,NA,2500000
"the rocket (2014)",2014,NA,NA
"the rover",2014,8500000,12250000
"the runner",2015,NA,6000000
"the salesman",2017,NA,NA
"the salt of the earth",2015,NA,NA
"the salvation",2014,NA,10500000
"the salvation",2015,NA,NA
"the sea of trees",2016,NA,NA
"the search",2014,NA,25000000
"the second best exotic marigold hotel",2015,1e+07,10000000
"the second mother",2015,NA,NA
"the secret in their eyes (2015)",2015,NA,NA
"the secret life of pets",2016,7.5e+07,75000000
"the secret of evil",2014,NA,300000
"the sense of an ending",2017,NA,NA
"the shack",2017,NA,20000000
"the shadow effect",2017,NA,4000000
"the shallows",2016,1.3e+07,17000000
"the shamer's daughter",2015,NA,7500000
"the shape of water",2017,19500000,NA
"the signal",2014,4e+06,4000000
"the signal (2014)",2014,NA,NA
"the skeleton twins",2014,1e+06,NA
"the snowman",2017,3.5e+07,NA
"the son of joseph",2016,NA,NA
"the space between us",2017,3e+07,30000000
"the spacewalker",2017,NA,7075038
"the spongebob movie: sponge out of water",2015,7.4e+07,74000000
"the square",2017,NA,NA
"the stanford prison experiment",2015,NA,NA
"the star",2017,2e+07,NA
"the strange little cat",2014,NA,NA
"the student and mr. henri",2016,NA,NA
"the summer of sangaile",2015,NA,NA
"the suspect (2014)",2014,NA,NA
"the swedish moment",2014,NA,495000
"the swindlers",2017,NA,NA
"the take (2016)",2016,NA,NA
"the taking of tiger mountain",2015,NA,NA
"the tale of the princess kaguya",2014,NA,NA
"the tales of hoffmann (2015 re-issue)",2015,NA,NA
"the theory of everything",2014,1.5e+07,15000000
"the third man (2015 re-release)",2015,NA,NA
"the three brothers: the return",2014,NA,13640000
"the tiger: an old hunter's tale",2015,NA,5000
"the transporter refueled",2015,2.2e+07,25000000
"the treasure",2016,NA,NA
"the tribe",2015,NA,NA
"the trip to italy",2014,NA,NA
"the trust",2016,NA,9000000
"the two faces of january",2014,NA,NA
"the unwanted",2014,NA,100000
"the vatican tapes",2015,1.3e+07,13000000
"the veil",2016,NA,4000000
"the veil of twilight",2014,NA,1131974
"the vessel",2016,NA,5000000
"the villainess",2017,NA,NA
"the visit",2015,5e+06,5000000
"the visitors: bastille day",2016,NA,25868826
"the void",2017,NA,NA
"the wailing (goksung)",2016,NA,NA
"the walk",2015,3.5e+07,35000000
"the wall",2017,3e+06,NA
"the water diviner",2014,NA,22500000
"the water diviner",2015,22500000,NA
"the wave",2015,NA,5904067
"the wave",2016,NA,NA
"the way he looks",2014,NA,NA
"the wedding plan",2017,NA,NA
"the wedding ringer",2015,2.3e+07,23000000
"the white king",2017,NA,2494400
"the wild life (2016)",2016,NA,NA
"the wind rises",2014,NA,NA
"the witch",2016,3500000,3500000
"the witness (wo shi zheng ren)",2015,NA,NA
"the wolfpack",2015,NA,NA
"the woman in black 2: angel of death",2014,NA,1000000
"the woman in black 2: angel of death",2015,NA,NA
"the wonders",2015,NA,NA
"the world of kanako",2015,NA,NA
"they call me jeeg robot",2015,NA,1900000
"they have escaped",2014,NA,1400000
"the young messiah",2016,16800000,18500000
"the young & prodigious t.s. spivet",2015,NA,NA
"they're watching",2016,NA,3650000
"they will have to kill us first",2015,NA,522360
"they will have to kill us first",2016,NA,NA
"the zero theorem",2014,NA,8500000
"the zookeeper's wife",2017,NA,20000000
"the zookeeper’s wife",2017,2e+07,NA
"thick lashes of lauri mäntyvaara",2017,NA,1254040
"things to come",2016,NA,2100000
"things to come ",2016,NA,NA
"think like a man too",2014,2.4e+07,24000000
"third person",2014,NA,NA
"this is where i leave you",2014,2e+07,19800000
"thor: ragnarok",2017,1.8e+08,NA
"three",2016,NA,NA
"three billboards outside ebbing, missouri",2017,1.2e+07,NA
"thunder and the house of magic!",2014,NA,NA
"tickled",2016,NA,NA
"tiger zinda hai",2017,NA,NA
"timbuktu",2015,NA,NA
"time out of mind",2015,NA,NA
"time pass",2014,NA,200
"time renegades",2016,NA,NA
"tom of finland",2017,NA,4200000
"tomorrow",2017,NA,NA
"tomorrowland",2015,1.7e+08,190000000
"toni erdmann",2016,NA,3537415
"tonight it's me",2014,NA,25000
"top five",2014,1.2e+07,NA
"toro",2016,NA,4000000
"torrente 5: operación eurovegas",2014,NA,9272437
"to steal from a thief",2016,NA,6700000
"tough being loved by jerks",2015,NA,NA
"tour de force",2014,NA,4000000
"to write love on her arms",2015,NA,3400000
"traceroute",2016,NA,10000
"tracers",2015,NA,11000000
"tracks (2014)",2014,NA,NA
"train to busan",2016,NA,8820000
"trainwreck",2015,3.5e+07,35000000
"tramps",2016,NA,2000000
"transcendence",2014,1e+08,100000000
"transformers: age of extinction",2014,2.1e+08,210000000
"transformers: the last knight",2017,2.17e+08,260000000
"trash",2015,NA,NA
"treehouse",2014,NA,3250000
"trespass against us",2017,NA,NA
"triple 9",2016,2e+07,20000000
"trolls",2016,1.25e+08,125000000
"troublemakers: the story of land art",2016,NA,NA
"true memoirs of an international assassin",2016,NA,40000000
"true story",2015,NA,NA
"truman",2017,NA,NA
"trumbo",2015,NA,15000000
"trumbo (2015)",2015,NA,NA
"truth",2015,NA,9600000
"tubelight",2017,NA,NA
"tulip fever",2017,2.5e+07,NA
"tumbledown",2016,NA,NA
"tunnel",2016,NA,NA
"turkey shoot",2014,NA,3200000
"tusk",2014,3e+06,2800000
"twenty (2015)",2015,NA,NA
"twenty two",2017,NA,NA
"two days, one night",2014,NA,7000000
"two night stand",2014,NA,NA
"tyler perry's boo 2! a madea halloween",2017,NA,NA
"tyler perry’s boo 2! a madea halloween",2017,2e+07,NA
"tyler perry’s boo! a madea halloween",2016,2e+07,NA
"tyler perry's the single moms club",2014,NA,NA
"udta punjab",2016,NA,5980000
"una",2017,NA,NA
"unbranded",2015,NA,NA
"unbroken",2014,6.5e+07,65000000
"under the skin",2014,13300000,13300000
"under the skin (2014)",2014,NA,NA
"under the sun (2016)",2016,NA,NA
"underworld: blood wars",2016,NA,35000000
"underworld: blood wars",2017,3.5e+07,NA
"unexpected journey",2017,NA,1500000
"unfinished business",2015,3.5e+07,35000000
"unforgettable",2017,1.2e+07,12000000
"unforgettable (2017)",2017,NA,NA
"unfriended",2015,1e+06,1000000
"un gallo con muchos huevos",2015,NA,NA
"united passions",2014,NA,27000000
"un padre no tan padre",2017,NA,NA
"unrelated",2014,NA,NA
"unsullied",2016,1500000,NA
"until forever",2016,NA,NA
"until forever (por siempre)",2016,NA,NA
"uss indianapolis: men of courage",2016,NA,40000000
"vacation",2015,3.1e+07,31000000
"valerian and the city of a thousand planets",2017,1.8e+08,197471676
"valley of love",2016,NA,NA
"vampire academy",2014,NA,NA
"vanishing time: a boy who returned",2016,NA,NA
"veeram",2014,NA,5900000
"venus in fur",2014,NA,NA
"veronica mars",2014,6e+06,6000000
"very good girls",2014,NA,NA
"veteran",2015,NA,NA
"vice",2015,NA,10000000
"viceroy's house",2017,NA,NA
"victor frankenstein",2015,4e+07,40000000
"victoria and abdul",2017,NA,NA
"vigilante diaries",2016,NA,4000000
"viking",2016,NA,13000000
"viktor",2014,NA,10000000
"vincent n roxxy",2016,NA,5000000
"viral",2016,NA,NA
"virtual revolution",2016,NA,3200000
"visaranai",2016,NA,325000
"viva",2016,NA,NA
"wakefield",2017,NA,NA
"walk of shame",2014,NA,15000000
"walk with me",2017,NA,NA
"walter",2015,NA,700000
"warcraft",2016,1.6e+08,160000000
"war dogs",2016,5e+07,40000000
"war for the planet of the apes",2017,1.52e+08,152000000
"war machine",2017,NA,60000000
"war room",2015,3e+06,3000000
"warsaw 44",2014,NA,6700000
"way of the wicked",2014,NA,3000000
"wazir",2016,NA,5200000
